Model,Dataset,TopK,Recall,Precision,NDCG,F1
nlpai-lab_KURE-v1,Ko-StrategyQA,10,0.17535088161632462,0.032368513942816805,0.169480483019133,0.05327516209350059
nlpai-lab_KURE-v1,RAG-Evaluation-Dataset-KO,1,0.9466666666666667,0.9466666666666667,0.0,0.9466666666666667
nlpai-lab_KURE-v1,RAG-Evaluation-Dataset-KO,3,0.9733333333333334,0.3244444444444444,0.9634914600952389,0.4866666666666667
nlpai-lab_KURE-v1,RAG-Evaluation-Dataset-KO,5,0.9766666666666667,0.1953333333333333,0.9649270486221502,0.3255555555555556
nlpai-lab_KURE-v1,RAG-Evaluation-Dataset-KO,10,0.9866666666666667,0.09866666666666665,0.9681890664446811,0.1793939393939394
nlpai-lab_KURE-v1,markers_bm,1,0.7456140350877193,0.7456140350877193,0.0,0.7456140350877193
nlpai-lab_KURE-v1,markers_bm,3,0.9210526315789473,0.30701754385964913,0.8517094390977484,0.4605263157894737
nlpai-lab_KURE-v1,markers_bm,5,0.956140350877193,0.1912280701754386,0.8656676406747398,0.3187134502923977
nlpai-lab_KURE-v1,markers_bm,10,0.9824561403508771,0.09824561403508772,0.8739994670412577,0.17862838915470497
nlpai-lab_KURE-v1,autorag-korean,1,0.0,0.0,0.0,0.0
nlpai-lab_KURE-v1,autorag-korean,3,0.0,0.0,0.0,0.0
nlpai-lab_KURE-v1,autorag-korean,5,0.0,0.0,0.0,0.0
nlpai-lab_KURE-v1,autorag-korean,10,0.0,0.0,0.0,0.0
BM-K_KoSimCSE-roberta-multitask,MLDR,1,0.08,0.08,0.0,0.08
BM-K_KoSimCSE-roberta-multitask,MLDR,3,0.115,0.03833333333333333,0.102082541375001,0.0575
BM-K_KoSimCSE-roberta-multitask,MLDR,5,0.145,0.029000000000000005,0.11390724434623152,0.04833333333333334
BM-K_KoSimCSE-roberta-multitask,MLDR,10,0.21,0.021,0.13430165530562962,0.038181818181818185
BM-K_KoSimCSE-roberta-multitask,Ko-StrategyQA,1,0.056077185551241325,0.08648076244264032,0.0,0.06504294622896811
BM-K_KoSimCSE-roberta-multitask,Ko-StrategyQA,3,0.08994923772544668,0.049770561242499116,0.10588860043650845,0.06129712739313869
BM-K_KoSimCSE-roberta-multitask,Ko-StrategyQA,5,0.10844553140705629,0.0370631839039887,0.11183996511605897,0.05320653970495128
BM-K_KoSimCSE-roberta-multitask,Ko-StrategyQA,10,0.1284983107256316,0.022626191316625483,0.11592459730722224,0.037490758239912124
BM-K_KoSimCSE-roberta-multitask,RAG-Evaluation-Dataset-KO,1,0.81,0.81,0.0,0.81
BM-K_KoSimCSE-roberta-multitask,RAG-Evaluation-Dataset-KO,3,0.92,0.30666666666666664,0.8763472453095263,0.46
BM-K_KoSimCSE-roberta-multitask,RAG-Evaluation-Dataset-KO,5,0.9433333333333334,0.18866666666666665,0.8861042066589798,0.3144444444444445
BM-K_KoSimCSE-roberta-multitask,RAG-Evaluation-Dataset-KO,10,0.9633333333333334,0.09633333333333331,0.8928638041623189,0.17515151515151517
BM-K_KoSimCSE-roberta-multitask,markers_bm,1,0.35964912280701755,0.35964912280701755,0.0,0.35964912280701755
BM-K_KoSimCSE-roberta-multitask,markers_bm,3,0.5526315789473685,0.18421052631578944,0.47107093681078027,0.27631578947368424
BM-K_KoSimCSE-roberta-multitask,markers_bm,5,0.6403508771929824,0.12807017543859645,0.5076963256547923,0.21345029239766083
BM-K_KoSimCSE-roberta-multitask,markers_bm,10,0.7543859649122807,0.07543859649122805,0.5462624686087231,0.13716108452950562
BM-K_KoSimCSE-roberta-multitask,autorag-korean,1,0.0,0.0,0.0,0.0
BM-K_KoSimCSE-roberta-multitask,autorag-korean,3,0.0,0.0,0.0,0.0
BM-K_KoSimCSE-roberta-multitask,autorag-korean,5,0.0,0.0,0.0,0.0
BM-K_KoSimCSE-roberta-multitask,autorag-korean,10,0.017543859649122806,0.0017543859649122807,0.006048601056503121,0.003189792663476874
